"Id","Name","Address","City","Country","PostalCode","PhotoUrl","RegistrationDate","UserId","Location","Area","DisplayName","IsCrawlable","QrCode","SearchVector","TagsString","TimeZone","DeliveryCalcuationType","ProcessingTime","IsAvailable","IsVerified","BillingEmail","SendSmsNotification"
1037,Bella Napoli,1089 Marinaside Crescent,Vancouver,Canada,V6Z 2Z4V6Z,https://res.cloudinary.com/fooreco/image/upload/v1592080502/restaurant/mqjh1m7um4hyatcutzok.jpg,2020-06-13T20:35:01.134256Z,1,0101000020E6100000AE4A7DB493C75EC033E774B405A34840,BC,BellaNapoli,true,15cc2f47-80ed-497c-b15d-896b31fd363a,'bella':1 'napoli':2,,Pacific Standard Time,1,empty,true,false,,true
190,Red Racer Taphouse Beer Store - License #306928,871 Beatty St,Vancouver,Canada,V6B 2M6,https://res.cloudinary.com/fooreco/image/upload/v1574464539/restaurant/brmo17yeipcen8m6degl.jpg,2019-11-05T04:39:17.710522Z,1,0101000020E6100000AA7EA5F361C75EC06697B90A73A34840,BC,RedRacerTaphouseBeerStoreLicense306928BeattySt,true,5023345b-36a6-4aac-8d10-bfb53e46d449,"'306928':7 'alcohol':10 'alcool':14 'alcoolisé':13 'beer':4,8 'bièr':11 'boisson':12 'licens':6 'liquor':9 'racer':2 'red':1 'store':5 'taphous':3", Beer Liquor Alcohol Bière Boissons Alcoolisées Alcool,Pacific Standard Time,1,empty,true,false,,true
731,Pokerrito,1668 Robson St,Vancouver,Canada,V6G 1C7,,2019-11-23T23:49:57.799458Z,1,0101000020E6100000603FC4068BC85EC091DB8A581FA54840,BC,PokerritoRobsonSt,false,f49959b4-17ac-4cef-8faf-afe4da991b98,'asian':2 'asiatiqu':8 'de':11 'fruit':10 'healthi':5 'intern':6 'japanes':7 'japonai':9 'mer':12 'pokerrito':1 'santé':4 'seafood':3, Asian Seafood Santé Healthy International Japanese Asiatique Japonais Fruits De Mer,Pacific Standard Time,1,empty,true,false,,true
368,Panago Pizza,1267 Pacific Blvd,Vancouver,Canada,V6B 5Z5,https://res.cloudinary.com/fooreco/image/upload/v1574464709/restaurant/i5u4hi7kyaaszdcywomi.jpg,2019-11-15T04:42:11.708944Z,1,0101000020E610000003EFE4D3E3C75EC04E1C8A4C0AA34840,BC,PanagoPizzaPacificBlvd,true,ad322be6-f3a3-4142-bf9f-20ab9dbcafa4,"'ail':12 'au':16 'chicken':20 'friend':14 'gluten':13,17 'italian':3 'italien':10 'mediterranean':6 'méditerranéen':7 'panago':1 'pizza':2,5 'poulet':8 'sensibl':15 'vegan':18 'vegetarian':4 'végétalien':19 'végétarien':9 'wing':11", Italian Vegetarian Pizza Mediterranean Méditerranéen Poulet Végétarien Italien Wings Ailes Gluten Friendly Sensible Au Gluten Vegan Végétalien Chicken,Pacific Standard Time,1,empty,true,false,,true
771,Thai Town,88 West Pender Street,Vancouver,Canada,V6B 1R3,,2019-11-24T00:11:02.503969Z,1,0101000020E6100000B13B3833D5C65EC094D27D4ADFA34840,BC,ThaiTownWPenderSt,false,d22e9cd7-281a-434e-9bd2-46e74220d61f,"'asian':3 'asiatiqu':16 'chicken':23 'de':19 'fait':7 'fait-maison':6 'fruit':18 'fusion':10 'homemad':11 'intern':13 'maison':8 'mer':20 'noodl':14 'nouill':17 'poulet':9 'seafood':4 'shop':15 'thai':1,22 'thaïlandai':21 'town':2 'vegetarian':5 'végétarien':12", Asian Seafood Vegetarian Fait-maison Poulet Fusion Homemade Végétarien International Noodle Shop Asiatique Nouilles Fruits De Mer Thaïlandais Thai Chicken,Pacific Standard Time,1,empty,true,false,,true
311,Little Bee Bubble Tea,345 Robson St,Vancouver,Canada,V6B 2B2,https://res.cloudinary.com/fooreco/image/upload/v1574465135/restaurant/ezs6echc3rlw5k4yfy0v.jpg,2019-11-06T02:42:12.756457Z,1,0101000020E6100000B45FF78564C75EC06E4CE5C4C6A34840,BC,LittleBeeBubbleTeaCentralLibrary,true,97d941b1-130b-474b-98cb-03bd765c18d3,'/th':10 'asian':5 'asiatiqu':6 'bee':2 'bubbl':3 'café':9 'coffee/tea':8 'cream':20 'crèmeri':18 'fast':12 'food':13 'frozen':21 'ice':19 'littl':1 'manger':17 'prêt':15 'prêt-à-manger':14 'smoothi':7 'tea':4 'treat':22 'à':16 'é':11, Asian Asiatique Smoothies Coffee/tea Café/thé Fast Food Prêt-à-manger Crèmerie Ice Cream & Frozen Treats,Pacific Standard Time,1,empty,true,false,,true
335,Vietmex Cuisine,1310 Burrard St,Vancouver,Canada,V6Z 2B7,https://res.cloudinary.com/fooreco/image/upload/v1574465186/restaurant/spjz80trlbqrxoswc8kf.jpg,2019-11-06T03:23:35.050358Z,1,0101000020E61000006F66F4A361C85EC0002082058BA34840,BC,VietmexCuisineBurrardSt,true,0e65b71e-9e2f-4db9-88dc-8c38a981bccd,'cuisin':2 'fait':6 'fait-maison':5 'fusion':8 'healthi':9 'homemad':10 'maison':7 'mexicain':17 'mexican':3 'noodl':11 'nouill':13 'santé':4 'shop':12 'taco':14 'vietmex':1 'vietnames':15 'vietnamien':16, Mexican Santé Fait-maison Fusion Healthy Homemade Noodle Shop Nouilles Tacos Vietnamese Vietnamien Mexicain,Pacific Standard Time,1,empty,true,false,,true
665,The Candy Room,1218 Robson St,Vancouver,Canada,V6E 1C2,,2019-11-23T06:25:20.125141Z,1,0101000020E61000009EAFFE7428C85EC0DE05A5C39EA44840,BC,TheCandyRoomRobsonSt,false,66f7ac2e-09b0-4b8d-874f-ae3a06652026,"'candi':2 'dessert':4,6 'intern':5 'room':3", Dessert International Desserts,Pacific Standard Time,1,empty,true,false,,true
464,Flying Wedge Pizza,333 Brooksbank Avenue,North Vancouver,Canada,V7J 3S8,https://res.cloudinary.com/fooreco/image/upload/v1574465423/restaurant/hthq1hrrccquvuysan79.jpg,2019-11-17T02:01:24.990065Z,1,0101000020E610000030371132A9C25EC02F5D7EA674A74840,BC,FlyingWedgePizzaBrooksbankAve,true,6fdd02bf-c0a1-404f-9b99-03ba627819c0,"'ail':11 'chicken':12 'fait':6 'fait-maison':5 'fli':1 'homemad':9 'maison':7 'pizza':3,4 'poulet':8 'wedg':2 'wing':10", Pizza Fait-maison Poulet Homemade Wings Ailes Chicken,Pacific Standard Time,1,empty,true,false,,true
411,Maria's Taverna,2324 West 4th Avenue,Vancouver,Canada,V6K 1P1,https://res.cloudinary.com/fooreco/image/upload/v1574465467/restaurant/opy2qoxfjfxtzrrqfhsx.jpg,2019-11-17T01:22:35.576382Z,1,0101000020E61000006862554E1DCA5EC0B704F2FC50A24840,BC,MariasTavernaW4thAve,true,6f30303c-aaa1-433a-bed2-d3e35d746c70,'chicken':14 'de':12 'fruit':11 'grec':5 'greek':10 'maria':1 'mediterranean':7 'mer':13 'méditerranéen':8 'pizza':6 'poulet':9 'seafood':4 'taverna':3, Seafood Grec Pizza Mediterranean Méditerranéen Poulet Greek Fruits De Mer Chicken,Pacific Standard Time,1,empty,true,false,,true
